Symbol,Net High Price,Net Low Price
STMP,67.11,58.46
EDNT,0.08,-0.03
GOOD,-7.55,-7.83
ENT,2.4,1.56
FSV,-10.66,-14.52
SALM,-0.59,-0.59
TBLTW,0.01,0.01
VETS,-5.78,-6.02
SOLY,-1.9,-2.24
TGTX,2.52,1.1
DOCU,28.61,24.35
SLS,-2.41,-2.11
JBLU,-10.13,-10.35
WTER,-0.13,-0.32
FMB,-1.75,-2.59
ABMD,-1.39,-3.25
SGLB,1.83,1.13
CHUY,-11.01,-11.74
ROBT,-4.85,-5.49
SGA,-2.59,-5.6
FSLR,-14.82,-16.04
PACB,-2.06,-2.03
FWRD,-18.27,-20.42
SBNY,-42.93,-50.25
SWKH,-0.8,-1.8
RILYH,-3.42,-5.1
TWNK,-2.75,-2.5
AIKI,-0.56,-0.55
CVET,-4.51,-4.77
CENT,1.44,0.91
WISA,5.34,1.67
PVAL,-7.91,-7.72
CUE,8.61,3.68
GXTG,-2.73,-3.26
DSWL,-0.35,-0.5
KIDS,-3.36,-4.0
AMBA,-10.87,-11.43
NDAQ,2.4,-3.86
NGHCO,-2.99,-3.68
SCON,0.0,0.03
OXLCO,-4.09,-5.76
SGMO,-0.03,-0.52
HHHHR,0.06,0.06
IMAC,-1.24,0.12
DDOG,4.34,2.74
TESS,-5.28,-5.62
USAP,-7.63,-8.12
BCOW,-2.38,-3.19
VRA,-7.26,-7.14
DRTT,-2.29,-2.25
SQBG,-0.18,-0.17
IGF,-11.66,-12.72
FXNC,-6.2,-6.45
WOOD,-18.27,-18.63
RMNI,-0.12,-0.01
HCCHU,1.27,0.32
TIPT,-2.62,-3.06
LLNW,2.33,0.91
LSXMB,-16.04,-18.12
RFEM,-15.0,-15.4
MYSZ,-0.02,-0.87
SUSB,0.51,-0.08
FTEK,-0.38,-0.4
MYRG,-5.5,-7.47
CVTI,-4.89,-5.58
DWEQ,-6.47,-6.38
BFRA,-3.16,-3.94
EBAY,3.03,1.74
ISIG,-0.06,-0.04
IIIN,-4.5,-5.17
PACQ,0.21,0.08
KE,-6.0,-6.04
BFYT,6.0,4.56
EXLS,-13.98,-17.33
SLGL,-12.28,-6.62
SILK,-0.18,-4.07
IEF,11.2,11.58
SNGXW,0.24,0.22
MNST,-1.98,-4.07
BCYC,5.55,4.67
CVGI,-4.91,-4.98
HSTM,-0.92,-2.47
HUIZ,-3.11,-4.29
WHLM,-1.75,-0.76
VTC,0.12,-0.26
CACG,-2.41,-3.46
TSEM,-6.25,-6.87
CPZ,-4.83,-5.39
QNST,-6.62,-7.02
MEDS,5.58,4.8
CYRX,1.0,0.04
SCYX,0.09,-0.08
ROIC,-9.62,-9.64
LOACW,-0.07,-0.13
MARK,-0.24,-0.12
QCLN,-2.31,-3.14
TZACU,-0.22,0.1
EVK,-0.77,-0.84
RUSHA,-11.46,-14.08
CVLY,-9.31,-10.82
